trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
inspirational,spiritual,100,0.53874860689044,1.4168315454184457,14.168315454184455,1.4892952282543514e-25,3.414481742827049e-23,True,+,0.64
verbose,philosophical,100,0.49528737381100657,1.4055609331266687,14.055609331266686,2.5319893918879586e-25,5.666833400892098e-23,True,+,0.47
intuitive,entertaining,100,0.38542748533189297,1.4045543369048896,14.045543369048897,2.655078663140035e-25,5.804125449654961e-23,True,+,0.55
inspirational,zealous,100,0.6147804257273674,1.4033227844533767,14.033227844533766,2.813889004158267e-25,6.011490145247207e-23,True,+,0.66
verbose,rhetorical,100,0.5343316875398159,1.4011043850634055,14.011043850634053,3.1244393180328475e-25,6.526606575446393e-23,True,+,0.58
inspirational,emotional,100,0.5813516348600387,1.3969821058805767,13.969821058805767,3.7959567293135206e-25,7.659736716245812e-23,True,+,0.6
inspirational,spontaneous,100,0.6186763972043992,1.3967938792029486,13.967938792029486,3.829868358122906e-25,7.659736716245812e-23,True,+,0.62
inspirational,creative,100,0.4766043323278427,1.3951208304876561,13.95120830487656,4.144996023880833e-25,8.117283880099966e-23,True,+,0.6
entertaining,emotional,100,0.5189851689338684,1.3933474384464901,13.933474384464901,4.507534731105127e-25,8.647107443344528e-23,True,+,0.55
inspirational,qualitative,100,0.6300738620758056,1.389240847390542,13.892408473905421,5.474237028210063e-25,1.0291565613034919e-22,True,+,0.59
playful,subversive,100,0.6880361819267273,1.3835244528235027,13.835244528235025,7.176704259454282e-25,1.3227650988013775e-22,True,+,0.49
verbose,introspective,100,0.4061273121833801,1.3805212384234031,13.805212384234032,8.275098356080066e-25,1.4958831643683199e-22,True,+,0.53
verbose,bombastic,100,0.44303643196821213,1.3777375605173872,13.777375605173871,9.443638896127201e-25,1.6749095400678431e-22,True,+,0.6
narrative,narrative,100,0.4546242716908455,1.3748168606726798,13.748168606726798,1.0848502284778383e-24,1.8665705327775165e-22,True,+,0.61
verbose,pedantic,100,0.3266962924413383,1.374483697571637,13.744836975716371,1.1021554971535332e-24,1.8665705327775165e-22,True,+,0.61
speculative,entertaining,100,0.4089672457426786,1.374296518197125,13.742965181971249,1.1119994663355419e-24,1.8665705327775165e-22,True,+,0.57
