axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
judgmental,4.159727976360085,50,12,0.24,0.3466439980300071,0.6064909160354047,0.3388265306122449,entertaining,+
savage,4.10229494244565,50,11,0.22,0.37293590385869546,0.629033831680217,0.324938574938575,playful,+
secular,3.8440435450790225,50,13,0.26,0.29569565731377095,0.5012701445390976,0.26710059171597633,stoic,-
acerbic,3.600409706437284,50,10,0.2,0.3600409706437284,0.6369747247959273,0.3037297297297297,playful,+
altruistic,3.546089307453556,50,11,0.22,0.32237175522305056,0.5643758252526757,0.3297719206810116,concise,-
pessimistic,3.522094616959526,50,9,0.18,0.39134384632883623,0.6004568959070522,0.3460997732426304,pessimistic,+
flexible,3.3536996499080285,50,9,0.18,0.3726332944342254,0.7116535669249622,0.2785958485958486,formal,-
hostile,3.3397848338897296,50,9,0.18,0.3710872037655255,0.7528482814686795,0.3260960960960961,playful,+
environmental,3.10948474748348,50,8,0.16,0.388685593435435,0.68797252057341,0.37450156985871275,inspirational,+
optimistic,3.0262204663836205,50,11,0.22,0.27511095148942005,0.45013099299665155,0.33363636363636356,inspirational,+
avoidant,2.634154893788745,50,8,0.16,0.3292693617235931,0.5394115305798477,0.3105405405405406,concise,+
inspirational,2.148868133695923,50,7,0.14,0.30698116195656044,0.5151341821936575,0.25,inspirational,+
melancholic,1.926487591603506,50,6,0.12,0.321081265267251,0.43094696287091244,0.33358974358974364,entertaining,+
